"Title:Nome","Lookup:Ano de admissao","Lookup:Curso","Lookup:ADM_CODIGO_CHR","Lookup:SRE_CODIGO_CHR"
136081,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137563,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137565,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137567,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137570,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137572,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137573,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137574,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
137575,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138171,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138172,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138173,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138174,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138175,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138176,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138177,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138178,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138179,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138180,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138181,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138182,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138183,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138184,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
138185,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
141440,"20082","SISTEMAS DE INFORMACAO","VT","N"
141441,"20082","SISTEMAS DE INFORMACAO","VT","E"
141442,"20082","SISTEMAS DE INFORMACAO","VT","E"
141443,"20082","SISTEMAS DE INFORMACAO","VT","E"
141444,"20082","SISTEMAS DE INFORMACAO","VT","N"
141445,"20082","SISTEMAS DE INFORMACAO","VT","N"
141446,"20082","SISTEMAS DE INFORMACAO","VT","N"
141447,"20082","SISTEMAS DE INFORMACAO","VT","E"
141448,"20082","SISTEMAS DE INFORMACAO","VT","N"
141449,"20082","SISTEMAS DE INFORMACAO","VT","N"
141450,"20082","SISTEMAS DE INFORMACAO","VT","E"
141451,"20082","SISTEMAS DE INFORMACAO","VT","N"
141452,"20082","SISTEMAS DE INFORMACAO","VT","N"
141453,"20082","SISTEMAS DE INFORMACAO","VT","E"
141454,"20082","SISTEMAS DE INFORMACAO","VT","E"
141455,"20082","SISTEMAS DE INFORMACAO","VT","N"
141456,"20082","SISTEMAS DE INFORMACAO","VT","E"
141457,"20082","SISTEMAS DE INFORMACAO","VT","E"
140539,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144310,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
144312,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
146995,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147181,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147190,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
149908,"20082","SISTEMAS DE INFORMACAO","TE","E"
152628,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","N"
144683,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147310,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
147312,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","N"
153547,"20082","CIÊNCIA DA COMPUTAÇÃO","VT","E"
153961,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","N"
154407,"20081","CIÊNCIA DA COMPUTAÇÃO","ES","E"
155653,"20082","SISTEMAS DE INFORMACAO","VT","N"
155949,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","N"
155995,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","E"
158611,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158613,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158766,"20092","SISTEMAS DE INFORMACAO","VT","N"
158864,"20092","SISTEMAS DE INFORMACAO","VT","E"
156671,"20082","CIÊNCIA DA COMPUTAÇÃO","ES","E"
157892,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158990,"20092","SISTEMAS DE INFORMACAO","VT","N"
157070,"20092","SISTEMAS DE INFORMACAO","VT","N"
157091,"20092","SISTEMAS DE INFORMACAO","VT","N"
158068,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159214,"20092","SISTEMAS DE INFORMACAO","VT","N"
159354,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157292,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157302,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157324,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157465,"20092","SISTEMAS DE INFORMACAO","VT","N"
157483,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
157490,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
158381,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
158486,"20092","SISTEMAS DE INFORMACAO","VT","N"
159469,"20092","SISTEMAS DE INFORMACAO","VT","N"
159486,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159497,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
159572,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
159604,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
157519,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
