"AAC_CODIGO_CHR","AAC_NOME_CHR","AAC_NOMECOMPLETO_CHR","AAC_EMENTA_CHR","MATRICULAS","PERSI","PERCC"
"CAD011","ADMINISTRACAO","ADMINISTRACAO","",413,,4
"CAD004","ADMINISTRACAO DA PRODUCAO","ADMINISTRACAO DA PRODUCAO","Visão geral da função operacional nas empresas. Formação de conceitos específicos sobre a área de produção (projeto de produto, previsão de vendas, medida do trabalho, estoques, controle de qualidade) com ênfase nas técnicas de tomada de decisão segundo o enfoque quantitativo. Papel dos aspectos sociais, éticos e ambientais na administração da produção.",233,5,
"CAD153","ADMINISTRACAO DE CUSTOS","ADMINISTRACAO DE CUSTOS","Conceitos basicos de custos e seus sistemas contabeis e a   impor-tancia de sua utilizacao na tomada de decisao e valor e risco.",177,6,
"CAD163","ADMINISTRACAO DE RECURSOS HUMANOS","ADMINISTRACAO DE RECURSOS HUMANOS","Conceitos; Objetivos e papel; evolucao historica; principais  pro-blemas e tendencias; visao sistemica da ARH; Funcoes basicas: Ana-lise e Descricao de Cargos, Recrutamento e Selecao, Treinamento  eDesenvolvimento, Cargos, Salarios e Beneficios. Avaliacao de   De-sempenho. Planejamento de Recursos Humanos.",261,4,
"CAD167","ADMINISTRACAO FINANCEIRA","ADMINISTRACAO FINANCEIRA","Objetivos, funcoes e tecnicas de analise da Administracao   Finan-ceira. Interrelacoes com as demais areas basicas da Administracao.",155,7,
"CAD164","ADMINISTRACAO MERCADOLOGICA","ADMINISTRACAO MERCADOLOGICA","Introducao ao estudo de marketing. Abrange, de forma conceitual, anatureza, escopo e papel de marketing nos diferentes tipos de  or-ganizacoes lucrativas e nao lucrativas. Inclui a analise do  ambi-ente economico, social, legal, tecnologico e competitivo como  va-riavel exogena que afeta o desempenho empresarial. Topicos como  ocomposto mercadologico, analise e quantificacao de mercado e  com-portamento do consumidor sao tratados de forma introdutoria.",143,8,
"CAD103","ADMINISTRACAO TGA","ADMINISTRACAO T.G.A.","ESTUDO CRITICO DAS PRINCIPAIS CORRENTES DA TEORIA GERAL DA ADMINISTRACAO: PRINCIPAIS CORRENTES, IDEIAS CENTRAIS E PRINCIPAIS        CRITICAS.",419,1,
"MAT034","ALGEBRA A","ALGEBRA A","",1130,3,2
"DCC003","ALGORITMOS E ESTRUTURAS DE DADOS I","ALGORITMOS E ESTRUTURAS DE DADOS I","Desenvolvimento de computadores e das linguagens de computação. Fases do desenvolvimento de programas.  Desenvolvimento de programas em uma linguagem de alto nível: dados, comandos, ferramentas de modularizacao, metodologias de desenvolvimento.",1108,1,1
"DCC004","ALGORITMOS E ESTRUTURAS DE DADOS II","ALGORITMOS E ESTRUTURAS DE DADOS II","Programação estruturada e linguagem de programação modular.  Introdução às técnicas de análise de algoritmos. Estruturas de dados estáticas e dinâmicas na memória principal..",1254,2,2
