FACE,0.7586,0.7183,0.7495,0.8468,0.0168,0.0171,0.0399,0.0376,0.0768,0.0422,0.0026,0.0177,0.0186,0.0027,0.0010,0.0017,0.0090,0.0105,0.0010,0.0000,0.0029,0.0081,0.0090,0.0000,0.0966,0.0110,0.0628,0.1907,0.2929,0.0371,0.0045,0.0000,0.0011,0.0017,0.0107,0.0052,0.0022,0.0151,0.0023,0.0059,0.0555,0.0098,0.0275,0.0248,0.0057,0.0002,0.0085,0.0212,0.0001,0.0083,0.0009,0.0000,0.0011,0.0000,0.0006,0.0001,0.0037,0.0063,0.0000,0.0000
DIREITO,0.0439,0.0397,0.0765,0.0064,0.9246,0.9251,0.0011,0.0019,0.0003,0.0030,0.0016,0.0010,0.0022,0.0007,0.0003,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0030,0.0000,0.0001,0.0010,0.0005,0.0000,0.0000,0.0000,0.0000,0.0004,0.0020,0.0010,0.0006,0.0069,0.0068,0.0065,0.0004,0.0001,0.0010,0.0008,0.0071,0.0081,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000
ECI,0.0061,0.0054,0.0030,0.0000,0.0000,0.0000,0.8124,0.8027,0.0038,0.0019,0.0000,0.0019,0.0058,0.0000,0.0000,0.0000,0.0008,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0022,0.0010,0.0561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0036,0.0000,0.0023,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0025,0.0000,0.0000
FAFICH,0.0532,0.0589,0.0512,0.0111,0.0498,0.0506,0.0684,0.0681,0.7760,0.7531,0.8409,0.8219,0.7974,0.8846,0.0111,0.0068,0.0111,0.0389,0.0175,0.0000,0.0130,0.0258,0.0310,0.0004,0.1596,0.0234,0.0063,0.0109,0.0021,0.0060,0.0024,0.0000,0.0000,0.0000,0.0027,0.0016,0.0000,0.0312,0.0013,0.0069,0.0076,0.0566,0.0324,0.0320,0.0071,0.0084,0.0010,0.0074,0.0018,0.0609,0.0845,0.0291,0.0000,0.0002,0.0777,0.0008,0.0046,0.0053,0.0000,0.0000
LETRAS,0.0016,0.0036,0.0189,0.0018,0.0022,0.0029,0.0193,0.0284,0.0202,0.0555,0.0609,0.0203,0.0227,0.0041,0.8639,0.8377,0.0169,0.0135,0.0019,0.0719,0.0092,0.0055,0.0078,0.0004,0.0783,0.0011,0.0256,0.0160,0.0398,0.0674,0.0049,0.0014,0.0000,0.0000,0.0187,0.0020,0.0012,0.0006,0.0019,0.0007,0.0030,0.0299,0.0090,0.0069,0.0076,0.0000,0.0004,0.0003,0.0033,0.0012,0.0007,0.0007,0.0073,0.0002,0.0428,0.0003,0.0050,0.0036,0.0000,0.0000
FAE,0.0000,0.0011,0.0074,0.0000,0.0001,0.0000,0.0009,0.0021,0.0700,0.0030,0.0515,0.0925,0.1233,0.0121,0.1095,0.1373,0.9321,0.9078,0.0197,0.0863,0.0461,0.0664,0.1670,0.0000,0.0026,0.0000,0.0000,0.0032,0.0000,0.0015,0.0688,0.2313,0.0804,0.1611,0.0000,0.0267,0.1377,0.0000,0.0002,0.0000,0.0000,0.0000,0.0052,0.0121,0.0000,0.0000,0.0003,0.0004,0.0918,0.0002,0.0095,0.0030,0.0247,0.0000,0.0086,0.0024,0.1014,0.2322,0.0000,0.0000
BELAS ARTES,0.0000,0.0005,0.0000,0.0000,0.0001,0.0001,0.0010,0.0003,0.0064,0.0921,0.0021,0.0068,0.0022,0.0003,0.0037,0.0010,0.0013,0.0000,0.9536,0.7871,0.0016,0.0016,0.0010,0.0000,0.0033,0.0010,0.0010,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0017,0.0017,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0010,0.0043,0.0000,0.0000
MUSICA,0.0000,0.0006,0.0000,0.0002,0.0001,0.0000,0.0002,0.0005,0.0016,0.0047,0.0065,0.0002,0.0015,0.0003,0.0021,0.0001,0.0014,0.0010,0.0006,0.0274,0.9171,0.0007,0.0006,0.0000,0.0030,0.0000,0.0052,0.0014,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0000,0.0035,0.0000,0.0004,0.0007,0.0043,0.0019,0.0000,0.0003,0.0000,0.0000,0.0009,0.0000,0.0000,0.0001,0.0000,0.0000,0.0121,0.0001,0.0002,0.0004,0.0000,0.0000
IGC,0.0000,0.0102,0.0000,0.0043,0.0020,0.0000,0.0000,0.0000,0.0019,0.0013,0.0006,0.0029,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0249,0.0000,0.8533,0.7438,0.7322,0.5576,0.0353,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0176,0.0111,0.0408,0.0000,0.1342,0.0000,0.0006,0.0000,0.0008,0.0207,0.0000,0.0000,0.0000,0.0004,0.0000,0.0048,0.0000,0.0164,0.0000,0.0000,0.0000,0.0218,0.0205,0.0000,0.0000
ARQUITETURA,0.0000,0.0069,0.0000,0.0010,0.0001,0.0000,0.0002,0.0000,0.0010,0.0035,0.0000,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0001,0.0001,0.0002,0.0000,0.0209,0.7618,0.0007,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0000,0.0000,0.0005,0.0014,0.0032,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000
