ADMINISTRACAO/DIURNO,"0,7586","0,0439","0,0061","0,0532","0,0016","0,0000","0,0000","0,0000","0,0000","0,0000","0,0976","0,0000","0,0004","0,0000","0,0085","0,0004","0,0000","0,0000","0,0005","0,0000","0,0292"
ADMINISTRACAO/NOTURNO,"0,7183","0,0397","0,0054","0,0589","0,0036","0,0011","0,0005","0,0006","0,0102","0,0069","0,0906","0,0026","0,0000","0,0000","0,0098","0,0004","0,0018","0,0000","0,0179","0,0000","0,0318"
CIENCIAS CONTABEIS/NOTURNO,"0,7495","0,0765","0,0030","0,0512","0,0189","0,0074","0,0000","0,0000","0,0000","0,0000","0,0671","0,0052","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0003","0,0000","0,0208"
CIENCIAS ECONOMICAS,"0,8468","0,0064","0,0000","0,0111","0,0018","0,0000","0,0000","0,0002","0,0043","0,0010","0,1098","0,0012","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0008","0,0000","0,0165"
DIREITO/DIURNO,"0,0168","0,9246","0,0000","0,0498","0,0022","0,0001","0,0001","0,0001","0,0020","0,0001","0,0005","0,0000","0,0000","0,0000","0,0000","0,0000","0,0006","0,0000","0,0000","0,0000","0,0031"
DIREITO/NOTURNO,"0,0171","0,9251","0,0000","0,0506","0,0029","0,0000","0,0001","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0011","0,0000","0,0000","0,0000","0,0031"
BIBLIOTECONOMIA/DIURNO,"0,0399","0,0011","0,8124","0,0684","0,0193","0,0009","0,0010","0,0002","0,0000","0,0002","0,0312","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0002","0,0000","0,0252"
BIBLIOTECONOMIA/NOTURNO,"0,0376","0,0019","0,8027","0,0681","0,0284","0,0021","0,0003","0,0005","0,0000","0,0000","0,0301","0,0012","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0007","0,0000","0,0264"
CIENCIAS SOCIAIS,"0,0768","0,0003","0,0038","0,7760","0,0202","0,0700","0,0064","0,0016","0,0019","0,0010","0,0236","0,0000","0,0000","0,0000","0,0049","0,0002","0,0002","0,0000","0,0014","0,0000","0,0117"
COMUNICACAO SOCIAL/DIURNO,"0,0422","0,0030","0,0019","0,7531","0,0555","0,0030","0,0921","0,0047","0,0013","0,0035","0,0024","0,0013","0,0000","0,0000","0,0017","0,0000","0,0006","0,0000","0,0005","0,0000","0,0334"
FILOSOFIA,"0,0026","0,0016","0,0000","0,8409","0,0609","0,0515","0,0021","0,0065","0,0006","0,0000","0,0081","0,0011","0,0000","0,0000","0,0003","0,0000","0,0042","0,0000","0,0034","0,0000","0,0162"
HISTORIA/DIURNO,"0,0177","0,0010","0,0019","0,8219","0,0203","0,0925","0,0068","0,0002","0,0029","0,0135","0,0031","0,0047","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0134"
HISTORIA/NOTURNO,"0,0186","0,0022","0,0058","0,7974","0,0227","0,1233","0,0022","0,0015","0,0006","0,0000","0,0015","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0244"
PSICOLOGIA,"0,0027","0,0007","0,0000","0,8846","0,0041","0,0121","0,0003","0,0003","0,0000","0,0000","0,0285","0,0000","0,0000","0,0000","0,0007","0,0017","0,0002","0,0000","0,0554","0,0000","0,0086"
