ADMINISTRACAO/DIURNO,FACE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
ADMINISTRACAO/NOTURNO,FACE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
CIENCIAS CONTABEIS/NOTURNO,FACE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
CIENCIAS ECONOMICAS,FACE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
DIREITO/DIURNO,DIREITO,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
DIREITO/NOTURNO,DIREITO,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
BIBLIOTECONOMIA/DIURNO,ECI,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
BIBLIOTECONOMIA/NOTURNO,ECI,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
CIENCIAS SOCIAIS,FAFICH,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
COMUNICACAO SOCIAL/DIURNO,FAFICH,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
FILOSOFIA,FAFICH,CIENCIAS HUMANAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
HISTORIA/DIURNO,FAFICH,CIENCIAS HUMANAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
HISTORIA/NOTURNO,FAFICH,CIENCIAS HUMANAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
PSICOLOGIA,FAFICH,CIENCIAS HUMANAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
LETRAS/DIURNO,LETRAS,"LINGUISTICA, LETRAS E ARTES","Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
LETRAS/NOTURNO,LETRAS,"LINGUISTICA, LETRAS E ARTES","Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
PEDAGOGIA/DIURNO,FAE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
PEDAGOGIA/NOTURNO,FAE,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
ARTES VISUAIS,BELAS ARTES,"LINGUISTICA, LETRAS E ARTES","Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
TEATRO,BELAS ARTES,"LINGUISTICA, LETRAS E ARTES","Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
MUSICA/DIURNO,MUSICA,"LINGUISTICA, LETRAS E ARTES","Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
GEOGRAFIA/DIURNO,IGC,CIENCIAS HUMANAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
GEOGRAFIA/NOTURNO,IGC,CIENCIAS HUMANAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
GEOLOGIA,IGC,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
TURISMO,IGC,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
ARQUITETURA E URBANISMO/DIURNO,ARQUITETURA,CIENCIAS SOCIAIS APLICADAS,"Grande Area de Ciencias Humanas, Ciencias Sociais Aplicadas, Letras e Artes","Humanas"
CIENCIA DA COMPUTACAO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
SISTEMAS DE INFORMACAO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
CIENCIAS ATUARIAIS,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ESTATISTICA,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
FISICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
FISICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
MATEMATICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
MATEMATICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
MATEMATICA COMPUTACIONAL,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
QUIMICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
QUIMICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA CIVIL,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENG. CONTROLE AUTOMACAO/DIURNO,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA DE MINAS,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA DE PRODUCAO,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA ELETRICA,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA MECANICA-DIURNO,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA MECANICA-NOTURNO,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA METALURGICA,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ENGENHARIA QUIMICA,ENGENHARIA,ENGENHARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
FARMACIA-Diurno,FARMACIA,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
MEDICINA VETERINARIA,VETERINARIA,CIENCIAS AGRARIAS,Grande Area de Ciencias Biologicas e Saude, Biologicas
EDUCACAO FISICA,EEFFTO,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
FISIOTERAPIA,EEFFTO,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
TERAPIA OCUPACIONAL,EEFFTO,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
ENFERMAGEM,ENFERMAGEM,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
NUTRICAO,ENFERMAGEM,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
MEDICINA,MEDICINA,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
FONOAUDIOLOGIA,MEDICINA,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
ODONTOLOGIA,ODONTOLOGIA,CIENCIAS DA SAUDE,Grande Area de Ciencias Biologicas e Saude, Biologicas
CIENCIAS BIOLOGICAS/DIURNO,ICB,CIENCIAS BIOLOGICAS,Grande Area de Ciencias Biologicas e Saude, Biologicas
CIENCIAS BIOLOGICAS/NOTURNO,ICB,CIENCIAS BIOLOGICAS,Grande Area de Ciencias Biologicas e Saude, Biologicas
AGRONOMIA,ICA,CIENCIAS AGRARIAS,"Grande Area de Ciencia Exatas, da Terra, e Engenharias","Exatas"
ZOOTECNIA,ICA,CIENCIAS AGRARIAS,Grande Area de Ciencias Biologicas e Saude, Biologicas
