ADMINISTRACAO/DIURNO,FACE
ADMINISTRACAO/NOTURNO,FACE
CIENCIAS CONTABEIS/NOTURNO,FACE
CIENCIAS ECONOMICAS,FACE
DIREITO/DIURNO,DIREITO
DIREITO/NOTURNO,DIREITO
BIBLIOTECONOMIA/DIURNO,ECI
BIBLIOTECONOMIA/NOTURNO,ECI
CIENCIAS SOCIAIS,FAFICH
COMUNICACAO SOCIAL/DIURNO,FAFICH
FILOSOFIA,FAFICH
HISTORIA/DIURNO,FAFICH
HISTORIA/NOTURNO,FAFICH
PSICOLOGIA,FAFICH
LETRAS/DIURNO,LETRAS
LETRAS/NOTURNO,LETRAS
PEDAGOGIA/DIURNO,FAE
PEDAGOGIA/NOTURNO,FAE
ARTES VISUAIS,BELAS ARTES
TEATRO,BELAS ARTES
MUSICA/DIURNO,MUSICA
GEOGRAFIA/DIURNO,IGC
GEOGRAFIA/NOTURNO,IGC
GEOLOGIA,IGC
TURISMO,IGC
ARQUITETURA E URBANISMO/DIURNO,ARQUITETURA
CIENCIA DA COMPUTACAO,ICEX
SISTEMAS DE INFORMACAO,ICEX
CIENCIAS ATUARIAIS,ICEX
ESTATISTICA,ICEX
FISICA/DIURNO,ICEX
FISICA/NOTURNO,ICEX
MATEMATICA/DIURNO,ICEX
MATEMATICA/NOTURNO,ICEX
MATEMATICA COMPUTACIONAL,ICEX
QUIMICA/DIURNO,ICEX
QUIMICA/NOTURNO,ICEX
ENGENHARIA CIVIL,ENGENHARIA
ENG. CONTROLE AUTOMACAO/DIURNO,ENGENHARIA
ENGENHARIA DE MINAS,ENGENHARIA
ENGENHARIA DE PRODUCAO,ENGENHARIA
ENGENHARIA ELETRICA,ENGENHARIA,REUNI
ENGENHARIA MECANICA-DIURNO,ENGENHARIA
ENGENHARIA MECANICA-NOTURNO,ENGENHARIA
ENGENHARIA METALURGICA,ENGENHARIA
ENGENHARIA QUIMICA,ENGENHARIA
FARMACIA-Diurno,FARMACIA
MEDICINA VETERINARIA,VETERINARIA
EDUCACAO FISICA,EEFFTO
FISIOTERAPIA,EEFFTO
TERAPIA OCUPACIONAL,EEFFTO
ENFERMAGEM,ENFERMAGEM
NUTRICAO,ENFERMAGEM
MEDICINA,MEDICINA
FONOAUDIOLOGIA,MEDICINA
ODONTOLOGIA,ODONTOLOGIA
CIENCIAS BIOLOGICAS/DIURNO,ICB
CIENCIAS BIOLOGICAS/NOTURNO,ICB
AGRONOMIA,ICA
ZOOTECNIA,ICA
