ADMINISTRACAO/DIURNO,FACE,CIENCIAS SOCIAIS APLICADAS
ADMINISTRACAO/NOTURNO,FACE,CIENCIAS SOCIAIS APLICADAS
CIENCIAS CONTABEIS/NOTURNO,FACE,CIENCIAS SOCIAIS APLICADAS
CIENCIAS ECONOMICAS,FACE,CIENCIAS SOCIAIS APLICADAS
DIREITO/DIURNO,DIREITO,CIENCIAS SOCIAIS APLICADAS
DIREITO/NOTURNO,DIREITO,CIENCIAS SOCIAIS APLICADAS
BIBLIOTECONOMIA/DIURNO,ECI,CIENCIAS SOCIAIS APLICADAS
BIBLIOTECONOMIA/NOTURNO,ECI,CIENCIAS SOCIAIS APLICADAS
CIENCIAS SOCIAIS,FAFICH,CIENCIAS SOCIAIS APLICADAS
COMUNICACAO SOCIAL/DIURNO,FAFICH,CIENCIAS SOCIAIS APLICADAS
FILOSOFIA,FAFICH,CIENCIAS HUMANAS
HISTORIA/DIURNO,FAFICH,CIENCIAS HUMANAS
HISTORIA/NOTURNO,FAFICH,CIENCIAS HUMANAS
PSICOLOGIA,FAFICH,CIENCIAS HUMANAS
LETRAS/DIURNO,LETRAS,"LINGUISTICA, LETRAS E ARTES"
LETRAS/NOTURNO,LETRAS,"LINGUISTICA, LETRAS E ARTES"
PEDAGOGIA/DIURNO,FAE,CIENCIAS SOCIAIS APLICADAS
PEDAGOGIA/NOTURNO,FAE,CIENCIAS SOCIAIS APLICADAS
ARTES VISUAIS,BELAS ARTES,"LINGUISTICA, LETRAS E ARTES"
TEATRO,BELAS ARTES,"LINGUISTICA, LETRAS E ARTES"
MUSICA/DIURNO,MUSICA,"LINGUISTICA, LETRAS E ARTES"
GEOGRAFIA/DIURNO,IGC,CIENCIAS HUMANAS
GEOGRAFIA/NOTURNO,IGC,CIENCIAS HUMANAS
GEOLOGIA,IGC,CIENCIAS EXATAS E DA TERRA
TURISMO,IGC,CIENCIAS SOCIAIS APLICADAS
ARQUITETURA E URBANISMO/DIURNO,ARQUITETURA,CIENCIAS SOCIAIS APLICADAS
CIENCIA DA COMPUTACAO,ICEX,CIENCIAS EXATAS E DA TERRA
SISTEMAS DE INFORMACAO,ICEX,CIENCIAS EXATAS E DA TERRA
CIENCIAS ATUARIAIS,ICEX,CIENCIAS EXATAS E DA TERRA
ESTATISTICA,ICEX,CIENCIAS EXATAS E DA TERRA
FISICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA
FISICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA
MATEMATICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA
MATEMATICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA
MATEMATICA COMPUTACIONAL,ICEX,CIENCIAS EXATAS E DA TERRA
QUIMICA/DIURNO,ICEX,CIENCIAS EXATAS E DA TERRA
QUIMICA/NOTURNO,ICEX,CIENCIAS EXATAS E DA TERRA
ENGENHARIA CIVIL,ENGENHARIA,ENGENHARIAS
ENG. CONTROLE AUTOMACAO/DIURNO,ENGENHARIA,ENGENHARIAS
ENGENHARIA DE MINAS,ENGENHARIA,ENGENHARIAS
ENGENHARIA DE PRODUCAO,ENGENHARIA,ENGENHARIAS
ENGENHARIA ELETRICA,ENGENHARIA,ENGENHARIAS
ENGENHARIA MECANICA-DIURNO,ENGENHARIA,ENGENHARIAS
ENGENHARIA MECANICA-NOTURNO,ENGENHARIA,ENGENHARIAS
ENGENHARIA METALURGICA,ENGENHARIA,ENGENHARIAS
ENGENHARIA QUIMICA,ENGENHARIA,ENGENHARIAS
FARMACIA-Diurno,FARMACIA,CIENCIAS DA SAUDE
MEDICINA VETERINARIA,VETERINARIA,CIENCIAS AGRARIAS
EDUCACAO FISICA,EEFFTO,CIENCIAS DA SAUDE
FISIOTERAPIA,EEFFTO,CIENCIAS DA SAUDE
TERAPIA OCUPACIONAL,EEFFTO,CIENCIAS DA SAUDE
ENFERMAGEM,ENFERMAGEM,CIENCIAS DA SAUDE
NUTRICAO,ENFERMAGEM,CIENCIAS DA SAUDE
MEDICINA,MEDICINA,CIENCIAS DA SAUDE
FONOAUDIOLOGIA,MEDICINA,CIENCIAS DA SAUDE
ODONTOLOGIA,ODONTOLOGIA,CIENCIAS DA SAUDE
CIENCIAS BIOLOGICAS/DIURNO,ICB,CIENCIAS BIOLOGICAS
CIENCIAS BIOLOGICAS/NOTURNO,ICB,CIENCIAS BIOLOGICAS
AGRONOMIA,ICA,CIENCIAS AGRARIAS
ZOOTECNIA,ICA,CIENCIAS AGRARIAS
